id,title,filename,system,content_len,domain_term_count,dtc_count,metadata_key_count,embedding_norm,pca_1,pca_2,pca_radius
77944b26-ad05-4cc8-aa79-f0d16a481897,仪表报警与用户故障现象对照_维修诊断手册.pdf,仪表报警与用户故障现象对照_维修诊断手册.pdf,快充/慢充,900,10,0,8,1.0000000593448495,-0.10900738264488438,0.11466286542199727,0.15820929864540612
bf070475-9eec-4401-adc9-8976690da72f,低压供电与唤醒故障_维修诊断手册.pdf,低压供电与唤醒故障_维修诊断手册.pdf,快充/慢充,900,8,4,8,1.0000000307771293,0.1303792112053878,0.08834211468824338,0.15748989790500809
63356afa-f73a-4a2c-89a8-5d277781ce90,低压供电与唤醒故障_维修诊断手册.pdf,低压供电与唤醒故障_维修诊断手册.pdf,BMS/电池,900,10,3,9,1.000000021083612,0.07751016022683052,0.1589724744040851,0.17686173287782306
9d79ac12-4e5a-4df0-94f8-c73768de80a7,低压供电与唤醒故障_维修诊断手册.pdf,低压供电与唤醒故障_维修诊断手册.pdf,快充/慢充,900,7,1,9,1.000000094269531,0.0802259248546901,-0.05123088001909134,0.095188245526015
4132802d-ecbe-458e-ba2a-7dd5f5379030,低压供电与唤醒故障_维修诊断手册.pdf,低压供电与唤醒故障_维修诊断手册.pdf,BMS/电池,695,6,0,7,0.9999999350614953,0.08536391525117401,-0.033511206654737634,0.09170604668431712
9ddd7ed5-4319-4d00-8c35-29b7b957d41b,低压供电与唤醒故障_维修诊断手册.pdf,低压供电与唤醒故障_维修诊断手册.pdf,快充/慢充,900,10,0,8,1.0000000008360306,-0.020531356471727918,0.09796066357217861,0.10008910133511403
a4a0a786-c040-4b3e-8390-488142c7b920,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,900,10,2,8,1.000000041881962,0.03029549246595976,-0.24185041354090314,0.24374051652046053
b4b10bbb-435b-4779-ad91-3fd579a6279f,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,900,12,1,9,1.000000002389849,-0.11969359715157764,-0.08758091444221754,0.14831376798402493
d2606af9-43f9-4fc3-90e8-88a73f20436c,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,900,11,5,8,1.0000000122124948,0.12412997859586442,-0.13439792730691005,0.18295096187394927
3b00f91b-0bf1-4e6d-a498-0eed538259b2,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,900,7,2,9,1.0000000365619128,0.07724294235536637,-0.15422911966608094,0.17249085047239104
35c3c52e-b4e6-49d4-9551-de8d8b85f605,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,900,10,2,9,0.9999999992201954,0.09707979174654198,-0.2305922155138814,0.2501944360315638
be95807d-6b0a-4c3b-b616-89c10fe121c8,快充慢充系统_维修诊断手册.pdf,快充慢充系统_维修诊断手册.pdf,快充/慢充,439,10,1,8,1.0000000867997574,0.07830518295290165,-0.20359100150872947,0.2181306892040065
c51ab8c7-9fb6-4b19-ab9f-9ed6d65ea2a4,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,通信/控制,193,3,0,5,0.9999999683230226,0.19703895859995119,0.38705234601515676,0.43432000847530605
40d6d9fe-9115-4102-9456-8b1061e012ea,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,快充/慢充,900,11,3,9,0.9999999417715257,0.026654125222220847,0.38485885608597886,0.38578074277906876
ddb94d5f-5c13-4eae-8142-c51c71bc1e0b,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,快充/慢充,900,10,5,8,1.0000000464489665,0.2047971374092282,0.4437552372064887,0.48873364733687136
d443b2a3-2dee-4426-8af1-fdf1eb017f3e,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,BMS/电池,900,5,4,9,1.0000000094229524,0.14017377347914575,0.36888373092263027,0.3946186687306904
48e1b53f-ff8b-478e-baa8-10e102827b1b,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,快充/慢充,900,7,4,9,1.0000000060985281,0.13985047070245285,0.29820824361323417,0.32937260164529114
60db25da-c903-49d3-a55d-4ab620735120,整车控制器VCU与CAN通讯_维修诊断手册.pdf,整车控制器VCU与CAN通讯_维修诊断手册.pdf,快充/慢充,900,8,1,8,1.0000000188200344,0.20114236175256436,0.3274980657162467,0.3843347925172564
641951dc-7c81-4a9d-82dd-42965d4541aa,新能源汽车典型维修案例库_维修诊断手册.pdf,新能源汽车典型维修案例库_维修诊断手册.pdf,快充/慢充,900,14,3,8,0.9999999155336343,0.013275760907524086,-0.1056895745887075,0.1065201014100893
12a5367f-1f36-41f0-9bee-38636072d4f0,新能源汽车典型维修案例库_维修诊断手册.pdf,新能源汽车典型维修案例库_维修诊断手册.pdf,快充/慢充,900,13,4,8,0.9999999605711293,-0.0323796732569186,-0.11516313656802456,0.11962855538879623
ec52a206-6054-4f42-9b06-4f38426a42be,新能源汽车典型维修案例库_维修诊断手册.pdf,新能源汽车典型维修案例库_维修诊断手册.pdf,快充/慢充,900,16,5,8,1.0000000603552355,-0.07674675350197843,-0.009296479589974569,0.07730775320664968
